Review ID,Run,Valid,Topic,Text Span,Errors
1,1,True,Staff,Staff is extremely helpful and easy to communicate with,
1,1,True,Food,Tasty food on the first floor,
1,2,True,Staff,Staff is extremely helpful and easy to communicate with,
1,2,True,Food,Tasty food on the first floor,
1,3,True,Staff,Staff is extremely helpful and easy to communicate with,
1,3,True,Food,Tasty food on the first floor,
2,1,False,Room,"The room was very clean, well decorated and modern, although not big.",
2,1,False,Staff,The staff was very nice and helpful!,
2,1,False,Staff,"The cook is great, and all staff was very kind and helpful.",
2,1,False,Food,"The breakfast was amazing, fresh and handmade! Especially vegetarian version with humus.",
2,2,False,Room,"The room was very clean, well decorated and modern, although not big.",
2,2,False,Staff,The staff was very nice and helpful!,
2,2,False,Staff,"The cook is great, and all staff was very kind and helpful.",
2,2,False,Food,"The breakfast was amazing, fresh and handmade! Especially vegetarian version with humus.",
2,3,False,Room,"The room was very clean, well decorated and modern, although not big.",
2,3,False,Staff,The staff was very nice and helpful!,
2,3,False,Staff,"The cook is great, and all staff was very kind and helpful.",
2,3,False,Food,"The breakfast was amazing, fresh and handmade! Especially vegetarian version with humus.",
3,1,True,Location,the location is great and near the airport.,
3,1,True,Location,bus stop is very close.,
3,2,True,Location,the location is great and near the airport.,
3,2,True,Location,bus stop is very close.,
3,3,True,Location,the location is great and near the airport.,
3,3,True,Location,bus stop is very close.,
4,1,False,Price,Great Quality/price,
4,1,False,Cleanliness,Clean,
4,2,False,Price,Great Quality/price,
4,2,False,Cleanliness,Clean,
4,3,False,Price,Great Quality/price,
4,3,False,Cleanliness,Clean,
5,1,True,Room,Clean and modern with very comfortable beds,
5,1,True,Location,in a very convenient location,
5,1,True,Location,An easy stroll to numerous nice restaurants and a great beach,
5,2,True,Room,Clean and modern with very comfortable beds,
5,2,True,Location,in a very convenient location,
5,2,True,Location,An easy stroll to numerous nice restaurants and a great beach,
5,3,True,Room,Clean and modern with very comfortable beds,
5,3,True,Location,in a very convenient location,
5,3,True,Location,An easy stroll to numerous nice restaurants and a great beach,
6,1,True,Room,The room was exceptionally clean with a really comfortable bed,
6,2,True,Room,The room was exceptionally clean with a really comfortable bed,
6,3,True,Room,The room was exceptionally clean with a really comfortable bed,
7,1,True,(no spans found),,
7,2,True,(no spans found),,
7,3,True,(no spans found),,
8,1,False,Location,"nice location,",
8,1,False,Personal,"lovely personal,",
8,2,False,(parse failed),,json_parse_error: Extra data: line 19 column 1 (char 434)
8,3,False,(parse failed),,json_parse_error: Extra data: line 19 column 1 (char 434)
9,1,False,(parse failed),,json_parse_error: Expecting value: line 1 column 1 (char 0)
9,2,False,(parse failed),,json_parse_error: Expecting value: line 1 column 1 (char 0)
9,3,False,(parse failed),,json_parse_error: Expecting value: line 1 column 1 (char 0)
10,1,True,Room,Great modern room comfortable bed and quiet location.,
10,2,True,Room,Great modern room comfortable bed and quiet location.,
10,3,True,Room,Great modern room comfortable bed and quiet location.,
11,1,True,Room,The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.,
11,1,True,Staff,The staff here are amazing beyond expectations..*****,
11,1,True,Staff,Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏,
11,1,True,Staff,"Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile 😁",
11,1,True,Food,Oh yeah the food is great to and very reasonable prices ..,
11,1,True,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,
11,2,True,Room,The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.,
11,2,True,Staff,The staff here are amazing beyond expectations..*****,
11,2,True,Staff,Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏,
11,2,True,Staff,"Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile 😁",
11,2,True,Food,Oh yeah the food is great to and very reasonable prices ..,
11,2,True,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,
11,3,True,Room,The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.,
11,3,True,Staff,The staff here are amazing beyond expectations..*****,
11,3,True,Staff,Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏,
11,3,True,Staff,"Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile 😁",
11,3,True,Food,Oh yeah the food is great to and very reasonable prices ..,
11,3,True,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,
12,1,False,(parse failed),,json_parse_error: Extra data: line 18 column 1 (char 600)
12,2,True,Staff,The staff were exceptional. So helpful and friendly. Went out of their way for us.,
12,2,True,Food,The breakfast was lovely with room service too.,
12,3,True,Staff,The staff were exceptional. So helpful and friendly. Went out of their way for us.,
12,3,True,Food,The breakfast was lovely with room service too.,
13,1,True,Room,"The rooms are lovely and new, very clean and comfortable.",
13,1,True,Room,The mattress was to my taste.,
13,1,True,Staff,"The staff are so welcoming, we felt like staying with family.",
13,1,True,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",
13,2,True,Room,"The rooms are lovely and new, very clean and comfortable.",
13,2,True,Room,The mattress was to my taste.,
13,2,True,Staff,"The staff are so welcoming, we felt like staying with family.",
13,2,True,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",
13,3,True,Room,"The rooms are lovely and new, very clean and comfortable.",
13,3,True,Room,The mattress was to my taste.,
13,3,True,Staff,"The staff are so welcoming, we felt like staying with family.",
13,3,True,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",
14,1,False,(parse failed),,json_parse_error: Extra data: line 18 column 1 (char 537)
14,2,False,(parse failed),,json_parse_error: Extra data: line 18 column 1 (char 537)
14,3,False,(parse failed),,json_parse_error: Extra data: line 18 column 1 (char 537)
15,1,False,(parse failed),,json_parse_error: Extra data: line 17 column 1 (char 558)
15,2,False,(parse failed),,json_parse_error: Extra data: line 17 column 1 (char 569)
15,3,False,(parse failed),,json_parse_error: Extra data: line 17 column 1 (char 569)
16,1,True,Room,"I liked the rooms- they are spacious, clean, the window view is nice too",
16,1,True,Food,"The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",
16,2,True,Room,"I liked the rooms- they are spacious, clean, the window view is nice too",
16,2,True,Food,"The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",
16,3,True,Room,"I liked the rooms- they are spacious, clean, the window view is nice too",
16,3,True,Food,"The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",
17,1,True,Room,Our room had a balcony with great view of the sea and surrounding area.,
17,1,True,Staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,
17,2,True,Room,Our room had a balcony with great view of the sea and surrounding area.,
17,2,True,Staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,
17,3,True,Room,Our room had a balcony with great view of the sea and surrounding area.,
17,3,True,Staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,
18,1,False,Staff,extremely friendly reception and dining staff,
18,1,False,Food,Meals well prepared and good value,
18,1,False,Other,"A family run hotel, very bright, nice seating areas inside and out. Bus every 20 minutes to the centre of Larnaka.",
18,2,False,(parse failed),,json_parse_error: Extra data: line 18 column 1 (char 581)
18,3,False,(parse failed),,json_parse_error: Extra data: line 18 column 1 (char 581)
19,1,True,Location,Close to airport,
19,2,True,Location,Close to airport,
19,3,True,Location,Close to airport,
20,1,False,Staff,friendly stuff,
20,1,False,Location,location,
20,1,False,Clean,clean,
20,2,False,Staff,friendly stuff,
20,2,False,Location,location,
20,2,False,Clean,clean,
20,3,False,Staff,friendly stuff,
20,3,False,Location,location,
20,3,False,Clean,clean,
21,1,False,Staff,The staff and the owners.,
21,1,False,Staff,Richard (the chef) is personally buying super fresh food for the restaurant.,
21,1,False,Food,Everything from breakfast to dinner is absolutely delicious.,
21,1,False,Food,super fresh food for the restaurant.,
21,2,False,Staff,The staff and the owners.,
21,2,False,Staff,Richard (the chef) is personally buying super fresh food for the restaurant.,
21,2,False,Food,Everything from breakfast to dinner is absolutely delicious.,
21,2,False,Food,super fresh food for the restaurant.,
21,3,False,Staff,The staff and the owners.,
21,3,False,Staff,Richard (the chef) is personally buying super fresh food for the restaurant.,
21,3,False,Food,Everything from breakfast to dinner is absolutely delicious.,
21,3,False,Food,super fresh food for the restaurant.,
22,1,False,Room,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean.",
22,1,False,Room,"Bed was really comfortable, lots of room for me to put my things... although might have needed another set of drawers if there were two of us.",
22,1,False,Staff,staff very accomodating.,
22,1,False,Food,"Ordered pizza one night and was not great, too stodgy",
22,2,False,Room,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean.",
22,2,False,Room,"Bed was really comfortable, lots of room for me to put my things... although might have needed another set of drawers if there were two of us.",
22,2,False,Staff,staff very accomodating.,
22,2,False,Food,"Ordered pizza one night and was not great, too stodgy.",
22,3,False,Room,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean.",
22,3,False,Room,"Bed was really comfortable, lots of room for me to put my things... although might have needed another set of drawers if there were two of us.",
22,3,False,Staff,staff very accomodating.,
22,3,False,Food,"Ordered pizza one night and was not great, too stodgy.",
23,1,False,(parse failed),,"json_parse_error: Expecting ',' delimiter: line 13 column 15 (char 323)"
23,2,True,(no spans found),,
23,3,True,(no spans found),,
24,1,True,(no spans found),,
24,2,True,(no spans found),,
24,3,True,(no spans found),,
25,1,True,(no spans found),,
25,2,True,(no spans found),,
25,3,True,(no spans found),,
26,1,False,Room,The rooms are a good size and are laid out very well with a good size bathroom,
26,1,False,Room,The room also has a great sized balcony to take a tea/coffee and chill,
26,1,False,Staff,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing,
26,1,False,Location,The hotel is 5 minutes from the beach and the location is also near the lake,
26,1,False,Food,There is a great restaurant inside where the food is good and not to pricey,
26,2,False,Room,The rooms are a good size and are laid out very well with a good size bathroom,
26,2,False,Room,The room also has a great sized balcony to take a tea/coffee and chill,
26,2,False,Staff,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing,
26,2,False,Location,The hotel is 5 minutes from the beach and the location is also near the lake,
26,2,False,Food,There is a great restaurant inside where the food is good and not to pricey,
26,3,False,Room,The rooms are a good size and are laid out very well with a good size bathroom,
26,3,False,Room,The room also has a great sized balcony to take a tea/coffee and chill,
26,3,False,Staff,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing,
26,3,False,Location,The hotel is 5 minutes from the beach and the location is also near the lake,
26,3,False,Food,There is a great restaurant inside where the food is good and not to pricey,
27,1,False,Staff,friendly staff,
27,1,False,Positive-Comment,"so comfortable, clean, friendly staff. perfect for overnight stay before flying from Larnaca Airport.",
27,1,False,Negative-Comment,nothing.,
27,2,False,Staff,friendly staff,
27,2,False,Positive-Comment,"so comfortable, clean, friendly staff. perfect for overnight stay before flying from Larnaca Airport.",
27,2,False,Negative-Comment,nothing.,
27,3,False,Staff,friendly staff,
27,3,False,Positive-Comment,"so comfortable, clean, friendly staff. perfect for overnight stay before flying from Larnaca Airport.",
27,3,False,Negative-Comment,nothing.,
28,1,False,(parse failed),,json_parse_error: Extra data: line 17 column 1 (char 406)
28,2,True,Staff,Staff is very polite and caring.,
28,3,True,Staff,Staff is very polite and caring.,
29,1,True,Room,very clean functional rooms.,
29,1,True,Room,I would have liked an ironing board in the room.,
29,1,True,Staff,lovely and very helpful staff.,
29,2,True,Room,very clean functional rooms.,
29,2,True,Room,I would have liked an ironing board in the room.,
29,2,True,Staff,lovely and very helpful staff.,
29,3,True,Room,very clean functional rooms.,
29,3,True,Room,I would have liked an ironing board in the room.,
29,3,True,Staff,lovely and very helpful staff.,
30,1,True,Room,The room was spotless.,
30,1,True,Staff,Staff were lovely.,
30,1,True,Location,Great location for restaurants.,
30,1,True,Location,Great location for a short drive to the airport.,
30,2,True,Room,The room was spotless.,
30,2,True,Staff,Staff were lovely.,
30,2,True,Location,Great location for restaurants.,
30,2,True,Location,Great location for a short drive to the airport.,
30,3,True,Room,The room was spotless.,
30,3,True,Staff,Staff were lovely.,
30,3,True,Location,Great location for restaurants.,
30,3,True,Location,Great location for a short drive to the airport.,
