Review ID,Run,Valid,Topic,Text Span,Errors
1,1,False,Staff,Staff is extremely helpful and easy to communicate with,
1,1,False,Location,close to the airport,
1,1,False,Location,close to the beach,
1,1,False,Food,Tasty food on the first floor,
1,1,False,Food,comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday,
1,2,False,Staff,Staff is extremely helpful and easy to communicate with,
1,2,False,Location,close to the airport,
1,2,False,Location,close to the beach,
1,2,False,Food,Tasty food on the first floor,
1,2,False,Food,comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday,
1,3,False,Staff,Staff is extremely helpful and easy to communicate with,
1,3,False,Location,close to the airport,
1,3,False,Location,close to the beach,
1,3,False,Food,Tasty food on the first floor,
1,3,False,Food,comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday,
2,1,False,Room,"The room was very clean, well decorated and modern, although not big.",
2,1,False,Staff,The staff was very nice and helpful!,
2,1,False,Staff,all staff was very kind and helpful,
2,1,False,Food,"The breakfast was amazing, fresh and handmade! Especially vegetarian version with humus.",
2,2,False,Room,"The room was very clean, well decorated and modern, although not big.",
2,2,False,Staff,The staff was very nice and helpful!,
2,2,False,Staff,all staff was very kind and helpful,
2,2,False,Food,"The breakfast was amazing, fresh and handmade! Especially vegetarian version with humus.",
2,3,False,Room,"The room was very clean, well decorated and modern, although not big.",
2,3,False,Staff,The staff was very nice and helpful!,
2,3,False,Staff,all staff was very kind and helpful,
2,3,False,Food,"The breakfast was amazing, fresh and handmade! Especially vegetarian version with humus.",
3,1,True,Location,the location is great and near the airport.,
3,1,True,Location,bus stop is very close.,
3,2,True,Location,the location is great and near the airport.,
3,2,True,Location,bus stop is very close.,
3,3,True,Location,the location is great and near the airport.,
3,3,True,Location,bus stop is very close.,
4,1,False,Price,Great Quality/price,
4,1,False,Cleanliness,Clean,
4,2,False,Price,Great Quality/price,
4,2,False,Cleanliness,Clean,
4,3,False,Price,Great Quality/price,
4,3,False,Cleanliness,Clean,
5,1,True,Room,Clean and modern with very comfortable beds,
5,1,True,Location,in a very convenient location,
5,1,True,Location,An easy stroll to numerous nice restaurants and a great beach,
5,2,True,Room,Clean and modern with very comfortable beds,
5,2,True,Location,in a very convenient location,
5,2,True,Location,An easy stroll to numerous nice restaurants and a great beach,
5,3,True,Room,Clean and modern with very comfortable beds,
5,3,True,Location,in a very convenient location,
5,3,True,Location,An easy stroll to numerous nice restaurants and a great beach,
6,1,True,Room,The room was exceptionally clean with a really comfortable bed,
6,2,True,Room,The room was exceptionally clean with a really comfortable bed,
6,3,True,Room,The room was exceptionally clean with a really comfortable bed,
7,1,True,(no spans found),,
7,2,True,(no spans found),,
7,3,True,(no spans found),,
8,1,True,Location,"nice location,",
8,2,True,Location,"nice location,",
8,3,True,Location,"nice location,",
9,1,True,Staff,very helpful host,
9,1,True,Location,nearby bus takes to town-cntre,
9,1,True,Food,couldn't eat breakfast due to dietary restrictions,
9,1,True,Food,purchasing fresh fruit or veg,
9,1,True,Taxi-issue,21 euro taxi,
9,2,True,Staff,very helpful host,
9,2,True,Location,nearby bus takes to town-cntre,
9,2,True,Food,couldn't eat breakfast due to dietary restrictions,
9,2,True,Food,fresh fruit or veg,
9,2,True,Taxi-issue,21 euro taxi,
9,3,True,Staff,very helpful host,
9,3,True,Location,nearby bus takes to town-cntre,
9,3,True,Food,couldn't eat breakfast due to dietary restrictions,
9,3,True,Food,fresh fruit or veg,
9,3,True,Taxi-issue,21 euro taxi,
10,1,True,Room,Great modern room comfortable bed and quiet location.,
10,1,True,Location,quiet location.,
10,2,True,Room,Great modern room comfortable bed and quiet location.,
10,2,True,Location,quiet location.,
10,3,True,Room,Great modern room comfortable bed and quiet location.,
10,3,True,Location,quiet location.,
11,1,False,Room,The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.,
11,1,False,Staff,The staff here are amazing beyond expectations..*****,
11,1,False,Staff,Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏,
11,1,False,Staff,"Richard the guy is like the friendliest guy ever, such a nice guy with a permanent. Smile 😁",
11,1,False,Staff,Even the cleaning lady is so friendly and so nice to talk to.,
11,1,False,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,
11,1,False,Food,Oh yeah the food is great to and very reasonable prices ..,
11,2,False,Room,The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.,
11,2,False,Staff,The staff here are amazing beyond expectations..*****,
11,2,False,Staff,Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏,
11,2,False,Staff,"Richard the guy is like the friendliest guy ever, such a nice guy with a permanent. Smile 😁",
11,2,False,Staff,Even the cleaning lady is so friendly and so nice to talk to.,
11,2,False,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,
11,2,False,Food,Oh yeah the food is great to and very reasonable prices ..,
11,3,False,Room,The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.,
11,3,False,Staff,The staff here are amazing beyond expectations..*****,
11,3,False,Staff,Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏,
11,3,False,Staff,"Richard the guy is like the friendliest guy ever, such a nice guy with a permanent. Smile 😁",
11,3,False,Staff,Even the cleaning lady is so friendly and so nice to talk to.,
11,3,False,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,
11,3,False,Food,Oh yeah the food is great to and very reasonable prices ..,
12,1,True,Staff,The staff were exceptional.,
12,1,True,Staff,So helpful and friendly.,
12,1,True,Staff,Went out of their way for us.,
12,1,True,Food,The breakfast was lovely with room service too.,
12,2,True,Staff,The staff were exceptional.,
12,2,True,Staff,So helpful and friendly.,
12,2,True,Staff,Went out of their way for us.,
12,2,True,Food,The breakfast was lovely with room service too.,
12,3,True,Staff,The staff were exceptional.,
12,3,True,Staff,So helpful and friendly.,
12,3,True,Staff,Went out of their way for us.,
12,3,True,Food,The breakfast was lovely with room service too.,
13,1,True,Room,"The rooms are lovely and new, very clean and comfortable.",
13,1,True,Room,The mattress was to my taste.,
13,1,True,Staff,"The staff are so welcoming, we felt like staying with family.",
13,1,True,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",
13,2,True,Room,"The rooms are lovely and new, very clean and comfortable.",
13,2,True,Room,The mattress was to my taste.,
13,2,True,Staff,"The staff are so welcoming, we felt like staying with family.",
13,2,True,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",
13,3,True,Room,"The rooms are lovely and new, very clean and comfortable.",
13,3,True,Room,The mattress was to my taste.,
13,3,True,Staff,"The staff are so welcoming, we felt like staying with family.",
13,3,True,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",
14,1,True,Staff,The receptionist didn't speak English properly,
14,1,True,Location,close to the airport,
14,1,True,Location,10min of walking distance from the hotel,
14,1,True,Location,next to the beach,
14,2,True,Staff,The receptionist didn't speak English properly,
14,2,True,Location,close to the airport,
14,2,True,Location,10min of walking distance from the hotel,
14,2,True,Location,next to the beach,
14,3,True,Staff,The receptionist didn't speak English properly,
14,3,True,Location,close to the airport,
14,3,True,Location,10min of walking distance from the hotel,
14,3,True,Location,next to the beach,
