Review ID,Run,Valid,Topics Present,Errors
1,1,True,"Room, Staff, Location, Food, Off",
1,2,True,"Room, Staff, Location, Food, Off",
1,3,True,"Room, Staff, Location, Food, Off",
2,1,True,"Room, Staff, Food, Off",
2,2,True,"Room, Staff, Food, Off",
2,3,True,"Room, Staff, Food, Off",
3,1,False,"Location, Off",'Room' is a required property
3,2,False,"Location, Off",'Room' is a required property
3,3,False,"Location, Off",'Room' is a required property
4,1,True,"Staff, Price, Off",
4,2,True,"Staff, Price, Off",
4,3,True,"Staff, Price, Off",
5,1,True,"Room, Location, Off",
5,2,True,"Room, Location, Off",
5,3,True,"Room, Location, Off",
6,1,True,"Room, Check-in, Off",
6,2,True,"Room, Check-in, Off",
6,3,True,"Room, Check-in, Off",
7,1,True,"Staff, Off",
7,2,True,"Staff, Off",
7,3,True,"Staff, Off",
8,1,True,"Staff, Location, Off",
8,2,True,"Staff, Location, Off",
8,3,True,"Staff, Location, Off",
9,1,True,"Staff, Location, Off",
9,2,True,"Staff, Location, Off",
9,3,True,"Staff, Location, Off",
10,1,True,"Room, Location, Off",
10,2,True,"Room, Location, Off",
10,3,True,"Room, Location, Off",
11,1,True,"Room, Staff, Location, Food, Off",
11,2,True,"Room, Staff, Location, Food, Off",
11,3,True,"Room, Staff, Location, Food, Off",
12,1,True,"Staff, Food, Off",
12,2,True,"Staff, Food, Off",
12,3,True,"Staff, Food, Off",
13,1,True,"Room, Staff, Location, Off",
13,2,True,"Room, Staff, Location, Off",
13,3,True,"Room, Staff, Location, Off",
14,1,True,"Staff, Location, Off",
14,2,True,"Staff, Location, Off",
14,3,True,"Staff, Location, Off",
15,1,True,"Staff, Location, Off",
15,2,True,"Staff, Location, Off",
15,3,True,"Staff, Location, Off",
16,1,True,"Room, Food, Off",
16,2,True,"Room, Food, Off",
16,3,True,"Room, Food, Off",
17,1,True,"Room, Staff, Off",
17,2,True,"Room, Staff, Off",
17,3,True,"Room, Staff, Off",
18,1,True,"Staff, Location, Food, Off",
18,2,True,"Staff, Location, Food, Off",
18,3,True,"Staff, Location, Food, Off",
19,1,True,"Location, Off",
19,2,True,"Location, Off",
19,3,True,"Location, Off",
20,1,True,"Staff, Location, Off",
20,2,True,"Staff, Location, Off",
20,3,True,"Staff, Location, Off",
21,1,True,"Staff, Food, Off",
21,2,True,"Staff, Food, Off",
21,3,True,"Staff, Food, Off",
22,1,True,"Room, Food, Facility",
22,2,True,"Room, Food, Facility",
22,3,True,"Room, Food, Facility",
23,1,True,"Room, Off",
23,2,True,"Room, Off",
23,3,True,"Room, Off",
24,1,True,"Room, Off",
24,2,True,"Room, Off",
24,3,True,"Room, Off",
25,1,True,"Staff, Off",
25,2,True,"Staff, Off",
25,3,True,"Staff, Off",
26,1,True,"Room, Staff, Location, Food, Facility, Off",
26,2,True,"Room, Staff, Location, Food, Facility, Off",
26,3,True,"Room, Staff, Location, Food, Facility, Off",
27,1,True,"Room, Staff, Off",
27,2,True,"Room, Staff, Off",
27,3,True,"Room, Staff, Off",
28,1,True,"Staff, Off",
28,2,True,"Staff, Off",
28,3,True,"Staff, Off",
29,1,True,"Room, Staff, Off",
29,2,True,"Room, Staff, Off",
29,3,True,"Room, Staff, Off",
30,1,True,"Room, Staff, Location, Off",
30,2,True,"Room, Staff, Location, Off",
30,3,True,"Room, Staff, Location, Off",
31,1,True,"Staff, Location, Food, Price, Off",
31,2,True,"Staff, Location, Food, Price, Off",
31,3,True,"Staff, Location, Food, Price, Off",
32,1,True,"Room, Staff, Off",
32,2,True,"Room, Staff, Off",
32,3,True,"Room, Staff, Off",
33,1,True,"Room, Staff, Food, Off",
33,2,True,"Room, Staff, Food, Off",
33,3,True,"Room, Staff, Food, Off",
34,1,True,"Location, Price, Off",
34,2,True,"Location, Price, Off",
34,3,True,"Location, Price, Off",
35,1,True,Off,
35,2,True,Off,
35,3,True,Off,
36,1,True,"Staff, Location, Food, Check-in, Off",
