Review ID,Run,Valid,Topics Present,Errors
1,1,False,"Room, Staff, Location, Food, Off",'Price' is a required property
1,2,False,"Room, Staff, Location, Food, Off",'Price' is a required property
1,3,False,"Room, Staff, Location, Food, Off",'Price' is a required property
2,1,True,"Room, Staff, Food",
2,2,True,"Room, Staff, Food",
2,3,True,"Room, Staff, Food",
3,1,False,Location,'Price' is a required property
3,2,False,Location,'Price' is a required property
3,3,False,Location,'Price' is a required property
4,1,True,"Location, Price, Off",
4,2,True,"Location, Price, Off",
4,3,True,"Location, Price, Off",
5,1,True,"Room, Location",
5,2,True,"Room, Location",
5,3,True,"Room, Location",
6,1,True,"Room, Off",
6,2,True,"Room, Off",
6,3,True,"Room, Off",
7,1,True,"Staff, Off",
7,2,True,"Staff, Off",
7,3,True,"Staff, Off",
8,1,True,"Staff, Location, Off",
8,2,True,"Staff, Location, Off",
8,3,True,"Staff, Location, Off",
9,1,True,"Staff, Location, Off",
9,2,True,"Staff, Location, Off",
9,3,True,"Staff, Location, Off",
10,1,True,"Room, Location",
10,2,True,"Room, Location",
10,3,True,"Room, Location",
11,1,True,"Room, Staff, Location, Food",
11,2,True,"Room, Staff, Location, Food",
11,3,True,"Room, Staff, Location, Food",
12,1,True,"Staff, Food",
12,2,True,"Staff, Food",
12,3,True,"Staff, Food",
13,1,True,"Room, Staff, Location",
13,2,True,"Room, Staff, Location",
13,3,True,"Room, Staff, Location",
14,1,True,"Staff, Location",
14,2,True,"Staff, Location",
14,3,True,"Staff, Location",
15,1,True,"Staff, Location, Off",
15,2,True,"Staff, Location, Off",
15,3,True,"Staff, Location, Off",
16,1,True,"Room, Food",
16,2,True,"Room, Food",
16,3,True,"Room, Food",
17,1,True,"Room, Staff, Off",
17,2,False,"Room, Staff, Off",'Price' is a required property
17,3,False,"Room, Staff, Off",'Price' is a required property
18,1,True,"Staff, Location, Food, Price, Off",
18,2,True,"Staff, Location, Food, Price, Off",
18,3,True,"Staff, Location, Food, Price, Off",
19,1,True,Location,
19,2,True,Location,
19,3,True,Location,
20,1,True,"Staff, Location, Off",
20,2,True,"Staff, Location, Off",
20,3,True,"Staff, Location, Off",
21,1,True,"Staff, Food",
21,2,True,"Staff, Food",
21,3,True,"Staff, Food",
22,1,True,"Room, Food, Off",
22,2,True,"Room, Food, Off",
22,3,True,"Room, Food, Off",
23,1,True,Room,
23,2,True,Room,
23,3,True,Room,
24,1,True,"Staff, Off",
24,2,True,"Staff, Off",
24,3,True,"Staff, Off",
25,1,True,"Staff, Off",
25,2,True,"Staff, Off",
25,3,True,"Staff, Off",
26,1,True,"Room, Staff, Location, Food",
26,2,False,"Room, Staff, Location, Food",'Price' is a required property
26,3,False,"Room, Staff, Location, Food",'Price' is a required property
27,1,True,"Staff, Off",
27,2,True,"Staff, Off",
27,3,True,"Staff, Off",
28,1,True,"Staff, Location, Off",
28,2,True,"Staff, Location, Off",
28,3,True,"Staff, Location, Off",
29,1,False,"Room, Staff",'Price' is a required property
29,2,False,"Room, Staff",'Price' is a required property
29,3,False,"Room, Staff",'Price' is a required property
30,1,True,"Room, Staff, Location, Off",
30,2,True,"Room, Staff, Location, Off",
30,3,True,"Room, Staff, Location, Off",
31,1,True,"Staff, Location, Food, Price",
31,2,True,"Staff, Location, Food, Price",
31,3,True,"Staff, Location, Food, Price",
32,1,True,"Room, Staff, Off",
32,2,True,"Room, Staff, Off",
32,3,True,"Room, Staff, Off",
33,1,True,"Room, Staff, Food",
33,2,True,"Room, Staff, Food",
33,3,True,"Room, Staff, Food",
34,1,True,"Location, Price, Off",
34,2,True,"Location, Price, Off",
34,3,True,"Location, Price, Off",
35,1,True,Location,
35,2,True,Location,
35,3,True,Location,
36,1,False,"Room, Staff, Location, Food, Check-in, Off",'Price' is a required property
36,2,False,"Staff, Location, Food, Check-in, Off",'Price' is a required property
36,3,False,"Staff, Location, Food, Check-in, Off",'Price' is a required property
37,1,True,"Staff, Location, Food, Off",
37,2,True,"Staff, Location, Food, Off",
37,3,True,"Staff, Location, Food, Off",
38,1,True,"Room, Off",
38,2,True,Room,
38,3,True,Room,
39,1,True,Room,
39,2,True,"Room, Off",
39,3,True,"Room, Off",
40,1,True,"Room, Location",
40,2,True,"Room, Location",
40,3,True,"Room, Location",
41,1,True,"Room, Staff, Location, Off",
41,2,True,"Room, Staff, Location, Off",
41,3,True,"Room, Staff, Location, Off",
42,1,True,"Staff, Off",
42,2,True,"Staff, Off",
42,3,True,"Staff, Off",
43,1,True,"Room, Off",
43,2,True,"Room, Off",
43,3,True,"Room, Off",
44,1,True,"Staff, Facility, Price",
44,2,True,"Staff, Facility, Price",
44,3,True,"Staff, Facility, Price",
45,1,True,"Room, Location, Food, Price",
45,2,True,"Room, Location, Food, Price",
45,3,True,"Room, Location, Food, Price",
46,1,True,"Price, Off",
46,2,True,"Price, Off",
46,3,True,"Price, Off",
47,1,True,"Staff, Price, Off, Taxi-issue",
47,2,True,"Staff, Price, Off, Taxi-issue",
47,3,True,"Staff, Price, Off, Taxi-issue",
48,1,True,"Room, Staff, Off",
48,2,True,"Room, Staff, Off",
48,3,True,"Room, Staff, Off",
49,1,True,"Room, Location, Price",
49,2,True,"Room, Location, Price",
49,3,True,"Room, Location, Price",
50,1,True,"Location, Off",
50,2,True,"Location, Off",
50,3,True,"Location, Off",
51,1,True,"Room, Staff, Location, Food",
51,2,True,"Room, Staff, Location, Food",
51,3,True,"Room, Staff, Location, Food",
52,1,True,"Food, Off",
52,2,True,"Food, Off",
52,3,True,"Food, Off",
53,1,True,"Room, Location, Food",
53,2,True,"Room, Location, Food",
53,3,True,"Room, Location, Food",
54,1,True,Room,
54,2,True,Room,
54,3,True,Room,
55,1,True,"Location, Off",
55,2,True,"Location, Off",
55,3,True,"Location, Off",
56,1,True,"Room, Staff, Location, Off",
56,2,True,"Room, Staff, Location, Off",
56,3,True,"Room, Staff, Location, Off",
57,1,True,"Room, Staff, Location",
57,2,True,"Room, Staff, Location",
57,3,True,"Room, Staff, Location",
58,1,True,"Room, Staff, Location",
58,2,True,"Room, Staff, Location",
58,3,True,"Room, Staff, Location",
59,1,False,"Location, Check-in, Off",'Price' is a required property
59,2,False,"Location, Check-in, Off",'Price' is a required property
59,3,False,"Location, Check-in, Off",'Price' is a required property
60,1,True,"Room, Check-in, Off",
60,2,True,"Room, Check-in, Off",
60,3,True,"Room, Check-in, Off",
61,1,True,"Staff, Food",
61,2,True,"Staff, Food",
61,3,True,"Staff, Food",
62,1,True,"Room, Location, Food",
62,2,True,"Room, Location, Food",
62,3,True,"Room, Location, Food",
63,1,True,"Staff, Price, Off",
63,2,True,"Staff, Price, Off",
63,3,True,"Staff, Price, Off",
64,1,True,"Room, Staff, Location, Off",
64,2,True,"Room, Staff, Location, Off",
64,3,True,"Room, Staff, Location, Off",
65,1,True,"Room, Staff, Location, Food",
65,2,True,"Room, Staff, Location, Food",
65,3,True,"Room, Staff, Location, Food",
66,1,False,"Room, Staff, Location, Food, Off",'Price' is a required property
66,2,False,"Room, Staff, Location, Food, Off",'Price' is a required property
66,3,False,"Room, Staff, Location, Food, Off",'Price' is a required property
67,1,True,"Staff, Off",
67,2,True,"Staff, Off",
67,3,True,"Staff, Off",
68,1,True,"Staff, Off",
68,2,True,"Staff, Off",
68,3,True,"Staff, Off",
69,1,True,"Staff, Price, Off",
69,2,True,"Staff, Price, Off",
69,3,True,"Staff, Price, Off",
70,1,True,"Staff, Off",
70,2,True,"Staff, Off",
70,3,True,"Staff, Off",
71,1,False,"Staff, Location, Check-in, Off",'Price' is a required property
71,2,False,"Staff, Location, Check-in, Off",'Price' is a required property
71,3,False,"Staff, Location, Check-in, Off",'Price' is a required property
72,1,True,"Room, Check-in",
72,2,True,"Room, Check-in",
72,3,True,"Room, Check-in",
73,1,True,"Room, Staff, Off",
73,2,True,"Room, Staff, Off",
73,3,True,"Room, Staff, Off",
74,1,False,"Room, Staff, Location, Food",'Price' is a required property
74,2,False,"Room, Staff, Location, Food",'Price' is a required property
74,3,False,"Room, Staff, Location, Food",'Price' is a required property
75,1,True,Location,
75,2,True,Location,
75,3,True,Location,
76,1,True,Location,
76,2,True,Location,
76,3,True,Location,
77,1,True,"Staff, Off",
77,2,True,"Staff, Off",
77,3,True,"Staff, Off",
78,1,True,"Room, Staff, Off",
78,2,True,"Room, Staff, Off",
78,3,True,"Room, Staff, Off",
79,1,True,"Staff, Off",
79,2,True,"Staff, Off",
79,3,True,"Staff, Off",
80,1,False,"Location, Food",'Price' is a required property
80,2,False,"Location, Food",'Price' is a required property
80,3,False,"Location, Food",'Price' is a required property
81,1,True,"Room, Location, Off",
81,2,True,"Room, Location, Off",
81,3,True,"Room, Location, Off",
82,1,True,"Staff, Location, Off",
82,2,True,"Staff, Location, Off",
82,3,True,"Staff, Location, Off",
83,1,True,"Room, Location",
83,2,True,"Room, Location",
83,3,True,"Room, Location",
84,1,True,"Staff, Location, Food",
84,2,True,"Staff, Location, Food",
84,3,True,"Staff, Location, Food",
85,1,True,"Room, Food, Check-in, Check-out",
85,2,True,"Room, Food, Check-in, Check-out",
85,3,True,"Room, Food, Check-in, Check-out",
86,1,True,"Staff, Food",
86,2,True,"Staff, Food",
86,3,True,"Staff, Food",
87,1,True,"Staff, Food",
87,2,True,"Staff, Food",
87,3,True,"Staff, Food",
88,1,True,"Room, Staff, Location, Off",
88,2,True,"Room, Staff, Location, Off",
88,3,True,"Room, Staff, Location, Off",
89,1,False,"Room, Check-in, Check-out, Off",'Price' is a required property
89,2,False,"Room, Check-in, Check-out, Off",'Price' is a required property
89,3,False,"Room, Check-in, Check-out, Off",'Price' is a required property
90,1,True,"Staff, Off",
90,2,True,"Staff, Off",
90,3,True,"Staff, Off",
91,1,True,"Room, Staff, Location",
91,2,True,"Room, Staff, Location",
91,3,True,"Room, Staff, Location",
92,1,False,"Staff, Check-in",'Price' is a required property
92,2,False,"Staff, Check-in",'Price' is a required property
92,3,False,"Staff, Check-in",'Price' is a required property
93,1,True,"Room, Location, Food",
93,2,True,"Room, Location, Food",
93,3,True,"Room, Location, Food",
94,1,True,"Staff, Food, Facility, Off",
94,2,True,"Staff, Food, Facility, Off",
94,3,True,"Staff, Food, Facility, Off",
95,1,True,Location,
95,2,True,Location,
95,3,True,Location,
96,1,True,"Room, Staff",
96,2,True,"Room, Staff",
96,3,True,"Room, Staff",
97,1,True,"Staff, Food",
97,2,True,"Staff, Food",
97,3,True,"Staff, Food",
98,1,True,"Room, Location",
98,2,True,"Room, Location",
98,3,True,"Room, Location",
99,1,True,"Staff, Off",
99,2,True,"Staff, Off",
99,3,True,"Staff, Off",
100,1,True,"Staff, Off",
100,2,True,"Staff, Off",
100,3,True,"Staff, Off",
101,1,True,"Room, Staff",
101,2,True,"Room, Staff",
101,3,True,"Room, Staff",
102,1,True,"Room, Staff, Location, Off",
102,2,True,"Room, Staff, Location, Off",
102,3,True,"Room, Staff, Location, Off",
103,1,True,Room,
103,2,True,Room,
103,3,True,Room,
104,1,True,"Room, Off",
104,2,True,"Room, Off",
104,3,True,"Room, Off",
105,1,True,"Room, Staff",
105,2,True,"Room, Staff",
105,3,True,"Room, Staff",
106,1,True,"Staff, Location",
106,2,True,"Staff, Location",
106,3,True,"Staff, Location",
107,1,True,"Room, Location, Food, Off",
107,2,True,"Room, Location, Food, Off",
107,3,True,"Room, Location, Food, Off",
108,1,True,"Location, Off",
108,2,True,"Location, Off",
108,3,True,"Location, Off",
109,1,True,"Room, Staff, Location, Off",
109,2,True,"Room, Staff, Location, Off",
109,3,True,"Room, Staff, Location, Off",
110,1,True,"Staff, Location, Check-in",
110,2,True,"Staff, Location, Check-in",
110,3,True,"Staff, Location, Check-in",
111,1,True,"Room, Location, Off",
111,2,True,"Room, Location, Off",
111,3,True,"Room, Location, Off",
112,1,True,"Staff, Food",
112,2,True,"Staff, Food",
112,3,True,"Staff, Food",
113,1,True,"Room, Staff",
113,2,True,"Room, Staff",
113,3,True,"Room, Staff",
114,1,True,"Room, Staff, Location",
114,2,True,"Room, Staff, Location",
114,3,True,"Room, Staff, Location",
