Review ID,Run,Source,Topic,Sentiment,Head,Selected Content,Literal,Literal Type,Valid,Errors
1,,gt,Facility,Positive,good_facility,"New, comfortable apartments",(no literals),,False,Additional properties are not allowed ('head' was unexpected)
1,,gt,Location,Positive,good_location,"close to the airport, to very clean beach.",(no literals),,False,Additional properties are not allowed ('head' was unexpected)
1,,gt,Staff,Positive,good_staff,Staff is extremely helpful and easy to communicate with,(no literals),,False,Additional properties are not allowed ('head' was unexpected)
1,,gt,Food,Positive,good_food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",(no literals),,False,Additional properties are not allowed ('head' was unexpected)
2,,gt,Staff,Positive,good_staff,The staff was very nice and helpful!,(no literals),,False,Additional properties are not allowed ('head' was unexpected)
2,,gt,Room,Positive,good_room,"The room was very clean, well decorated and modern, although not big.",(no literals),,False,Additional properties are not allowed ('head' was unexpected)
2,,gt,Room,Negative,bad_room,"The room was very clean, well decorated and modern, although not big.",(no literals),,False,Additional properties are not allowed ('head' was unexpected)
2,,gt,Food,Positive,good_food,"Also, the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus. The cook is great, and all staff was very kind and helpful.",(no literals),,False,Additional properties are not allowed ('head' was unexpected)
2,,gt,Facility,Negative,bad_facility,"We had a really pleasant stay!, although not big,",(no literals),,False,Additional properties are not allowed ('head' was unexpected)
2,,gt,Facility,Positive,good_facility,"I like hotels with a family atmosphere, cozy and not big,",(no literals),,False,Additional properties are not allowed ('head' was unexpected)
3,,gt,Location,Positive,good_location,the location is great and near the airport. bus stop is very close.,(no literals),,False,Additional properties are not allowed ('head' was unexpected)
4,,gt,Staff,Positive,good_staff,Great stuff,(no literals),,False,Additional properties are not allowed ('head' was unexpected)
4,,gt,Price,Positive,good_price,Great Quality/price,(no literals),,False,Additional properties are not allowed ('head' was unexpected)
4,,gt,Room,Positive,good_room,Clean,(no literals),,False,Additional properties are not allowed ('head' was unexpected)
5,,gt,Room,Positive,good_room,Clean and modern with very comfortable beds,(no literals),,False,Additional properties are not allowed ('head' was unexpected)
5,,gt,Location,Positive,good_location,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.,(no literals),,False,Additional properties are not allowed ('head' was unexpected)
6,,gt,Room,Positive,good_room,The room was exceptionally clean with a really comfortable bed,(no literals),,False,Additional properties are not allowed ('head' was unexpected)
8,,gt,Location,Positive,good_location,nice location,(no literals),,False,Additional properties are not allowed ('head' was unexpected)
8,,gt,Staff,Positive,good_staff,lovely personal,(no literals),,False,Additional properties are not allowed ('head' was unexpected)
9,,gt,Staff,Positive,good_staff,very helpful host showed us how nearby bus takes to town-cntre (and airport by the way,(no literals),,False,Additional properties are not allowed ('head' was unexpected)
10,,gt,Room,Positive,good_room,Great modern room comfortable bed,(no literals),,False,Additional properties are not allowed ('head' was unexpected)
10,,gt,Location,Positive,good_location,quiet location,(no literals),,False,Additional properties are not allowed ('head' was unexpected)
