Review ID,Run,Valid,Topic,Text Span,Sentiment,Errors
1,1,False,Room,"New, comfortable apartments",Positive,
1,1,False,Staff,extremely helpful and easy to communicate with,Positive,
1,1,False,Food,Tasty food,Positive,
1,1,False,Location,close to the airport,Positive,
1,1,False,Location,close to the beach,Positive,
1,1,False,Off,Nothing at all.,Negative,
1,2,False,Room,"New, comfortable apartments",Positive,
1,2,False,Staff,extremely helpful and easy to communicate with,Positive,
1,2,False,Food,Tasty food,Positive,
1,2,False,Location,close to the airport,Positive,
1,2,False,Location,close to the beach,Positive,
1,2,False,Off,Nothing at all.,Negative,
1,3,False,Room,"New, comfortable apartments",Positive,
1,3,False,Staff,extremely helpful and easy to communicate with,Positive,
1,3,False,Food,Tasty food,Positive,
1,3,False,Location,close to the airport,Positive,
1,3,False,Location,close to the beach,Positive,
1,3,False,Off,Nothing at all.,Negative,
2,1,False,Room,"The room was very clean, well decorated and modern, although not big.",Positive,
2,1,False,Staff,The staff was very nice and helpful!,Positive,
2,1,False,Food,"The breakfast was amazing, fresh and handmade! Especially vegetarian version with humus.",Positive,
2,2,False,Room,"The room was very clean, well decorated and modern, although not big.",Positive,
2,2,False,Staff,The staff was very nice and helpful!,Positive,
2,2,False,Food,"The breakfast was amazing, fresh and handmade! Especially vegetarian version with humus.",Positive,
2,3,False,Room,"The room was very clean, well decorated and modern, although not big.",Positive,
2,3,False,Staff,The staff was very nice and helpful!,Positive,
2,3,False,Food,"The breakfast was amazing, fresh and handmade! Especially vegetarian version with humus.",Positive,
3,1,True,Location,the location is great and near the airport.,Positive,
3,1,True,Location,bus stop is very close.,Positive,
3,2,True,Location,the location is great and near the airport.,Positive,
3,2,True,Location,bus stop is very close.,Positive,
3,3,True,Location,the location is great and near the airport.,Positive,
3,3,True,Location,bus stop is very close.,Positive,
4,1,True,(no topics found),,,
4,2,True,(no topics found),,,
4,3,True,(no topics found),,,
5,1,True,Room,Clean and modern with very comfortable beds,Positive,
5,1,True,Location,in a very convenient location,Positive,
5,1,True,Location,An easy stroll to numerous nice restaurants and a great beach,Positive,
5,2,True,Room,Clean and modern with very comfortable beds,Positive,
5,2,True,Location,in a very convenient location,Positive,
5,2,True,Location,An easy stroll to numerous nice restaurants and a great beach,Positive,
5,3,True,Room,Clean and modern with very comfortable beds,Positive,
5,3,True,Location,in a very convenient location,Positive,
5,3,True,Location,An easy stroll to numerous nice restaurants and a great beach,Positive,
6,1,True,Room,The room was exceptionally clean with a really comfortable bed,Positive,
6,2,True,Room,The room was exceptionally clean with a really comfortable bed,Positive,
6,3,True,Room,The room was exceptionally clean with a really comfortable bed,Positive,
7,1,True,(no topics found),,,
7,2,True,(no topics found),,,
7,3,True,(no topics found),,,
8,1,True,Staff,lovely personal,Positive,
8,1,True,Location,nice location,Positive,
8,2,True,Staff,lovely personal,Positive,
8,2,True,Location,nice location,Positive,
8,3,True,Staff,lovely personal,Positive,
8,3,True,Location,nice location,Positive,
9,1,True,Staff,helpful host,Positive,
9,1,True,Taxi-issue,21 euro taxi,Negative,
9,2,True,Staff,helpful host,Positive,
9,2,True,Taxi-issue,21 euro taxi,Negative,
9,3,True,Staff,helpful host,Positive,
9,3,True,Taxi-issue,21 euro taxi,Negative,
10,1,True,Room,Great modern room comfortable bed and quiet location.,Positive,
10,2,True,Room,Great modern room comfortable bed and quiet location.,Positive,
10,3,True,Room,Great modern room comfortable bed and quiet location.,Positive,
11,1,False,Room,The rooms are spacious and clean great to stay,Positive,
11,1,False,Staff,The staff here are amazing beyond expectations,Positive,
