ID,Topic,Selected Content,Reason
2,Facility,"We had a really pleasant stay!, although not big,",Not verbatim in review text
2,Facility,"I like hotels with a family atmosphere, cozy and not big,",Not verbatim in review text
5,Location,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.,Not verbatim in review text
8,Off,"renovated, nothing",Not verbatim in review text
11,Staff,"The staff here are amazing beyond expectations..*****
  Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
  Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Even the cleaning lady is so friendly and so nice to talk to. The owners are also great",Not verbatim in review text
11,Off,"My second time here and true to say it was better than the first which was excellent. I don't think I need to mention where I'll be staying next time I'm in Larnaka.
  Brilliant guys, it's like a real caring family set up ..., which is always so nice.",Not verbatim in review text
13,Off,"We stayed 1 week and enjoyed it very much, We would definitely stay again on our next visit to Larnaca, Thank you so much for the great time we had with you.",Not verbatim in review text
18,Off,"A family run hotel, very bright, nice seating areas inside and out.",Not verbatim in review text
21,Staff,however what will bring me back is the staff and the owners. Richard (the chef) is personally buying super fresh food for the restaurant. The owners have been super kind to me :),Not verbatim in review text
22,Room,"although might have needed another set of drawers if there were two of us. Fridge could have been put on beforehand, the shower took a while to get hot,",Not verbatim in review text
22,Off,"so it was cold. had to have a cold shower one morning as i needed to get out early. When you left it running for around 5 mins it got warm and was a good shower, but I'm sure other food is better.",Not verbatim in review text
26,Off,Keep up the great work. Leaving..in fact just re booked the hotel for 2 weeks time 😁,Not verbatim in review text
31,Off,"We would definitely stay there again, All good",Not verbatim in review text
42,Staff,"hospitality,",Not verbatim in review text
52,Off,Everything was good. Nothing,Not verbatim in review text
52,All,No valid annotations,No annotations generated
56,Location,"Perfect place to stay for early morning / late night flights as it’s situated within 5 minutes from the airport. given that a lot of guests book here for its prime location near the airport,",Not verbatim in review text
56,Off,"but that’s just a suggestion, everything was perfect for one nights stay.",Not verbatim in review text
62,Room,"Comfortable beds, the best linen and duvets I had
  in my entire 10 day trip.
  In room mini bar+ tea/ coffee. Clean modern bathroom.
  Good AC.",Not verbatim in review text
63,Facility,"It’s been renovated to a exceptionally high standard , it really is well up to 4* standard.",Not verbatim in review text
64,Location,"you can hear all the noise from the planes. If you are looking for a quiet stay, you should be aware that the hotel is really close to the airport,",Not verbatim in review text
66,Location,"The location was perfect for the airport as we were flying out to uk, The fish and steak restaurant around the corner was also great value and friendly.",Not verbatim in review text
71,Off,"We arrived after midnight. but the accommodation cannot do anything about this. overall, we are extremely satisfied.",Not verbatim in review text
77,Off,All went amazing! we’d love to stay longer,Not verbatim in review text
83,Staff,Staff was very nice and friendly.,Not verbatim in review text
84,Food,The breakfast was very good plenty of selection. Every thing was spotless clean in the breakfast room,Not verbatim in review text
84,Facility,Every thing was spotless clean everywhere too. had plenty of chairs to sit on outside in the garden which also was spotlessly clean everywhere too.,Not verbatim in review text
85,Staff,friendly personnel.,Not verbatim in review text
90,Off,"position, staff",Not verbatim in review text
98,Off,"We used the hotel only for one night, which I wished to visit but didn't have time.",Not verbatim in review text
103,Room,The room was recently refurbished and very spatious. Nice view of the salt lake by the terrace. Sinks and toilette separated by a door inside the bathroom.,Not verbatim in review text
105,Off,We only stayed for a night but we were super happy with our stay at the La Veranda Hotel. I liked everything about the property,Not verbatim in review text
108,Off,everything nothing,Not verbatim in review text
108,All,No valid annotations,No annotations generated
114,Off,"I really enjoyed this place, Perfect for our short stay, Very impressed however anything longer than a 2 night stay and you may get a little bored.
  Highly recommended, I have no complaints.",Not verbatim in review text
119,Staff,"But what made La Veranda stand out was the fantastic service, they couldn't have been friendlier, kinder or more helpful. they were able to accommodate my specific needs",Not verbatim in review text
121,All,No valid annotations,No annotations generated
126,Off,"(I didn't have breakfast but ate dinner at the restaurant), but that was just normal for summertime I guess.",Not verbatim in review text
129,Room,The room and bathroom were of very good size and clean! Our bed was so comfortable!,Not verbatim in review text
131,Off,"Using the air conditioner was great after a hot day outside. but you can take the 425 bus, which arrives fairly often at the station near the hotel.",Not verbatim in review text
132,Staff,"Very friendly and the most helpful host. Impeccable service,",Not verbatim in review text
