Review ID,Run,Valid,Topic,Text Span,Sentiment,Errors
1,1,False,Staff,extremely helpful,Positive,
1,1,False,Location,close to the airport,Positive,
1,1,False,Location,close to the beach,Positive,
1,1,False,Food,tasty food,Positive,
1,1,False,Food,comfortable restaurant,Positive,
1,1,False,Facility,comfortable apartments,Positive,
1,2,False,Staff,extremely helpful,Positive,
1,2,False,Location,close to the airport,Positive,
1,2,False,Location,close to the beach,Positive,
1,2,False,Food,tasty food,Positive,
1,2,False,Food,comfortable restaurant,Positive,
1,2,False,Facility,comfortable apartments,Positive,
1,3,False,Staff,extremely helpful,Positive,
1,3,False,Location,close to the airport,Positive,
1,3,False,Location,close to the beach,Positive,
1,3,False,Food,tasty food,Positive,
1,3,False,Food,comfortable restaurant,Positive,
1,3,False,Facility,comfortable apartments,Positive,
2,1,False,Staff,The staff was very nice and helpful!,Positive,
2,1,False,Room,"The room was very clean, well decorated and modern",Positive,
2,1,False,Food,"The breakfast was amazing, fresh and handmade!",Positive,
2,1,False,Staff,"The cook is great, and all staff was very kind and helpful",Positive,
2,2,False,Staff,The staff was very nice and helpful!,Positive,
2,2,False,Room,"The room was very clean, well decorated and modern",Positive,
2,2,False,Food,"The breakfast was amazing, fresh and handmade!",Positive,
2,2,False,Staff,"The cook is great, and all staff was very kind and helpful",Positive,
2,3,False,Staff,The staff was very nice and helpful!,Positive,
2,3,False,Room,"The room was very clean, well decorated and modern",Positive,
2,3,False,Food,"The breakfast was amazing, fresh and handmade!",Positive,
2,3,False,Staff,"The cook is great, and all staff was very kind and helpful",Positive,
3,1,True,Location,the location is great,Positive,
3,1,True,Location,near the airport,Positive,
3,1,True,Location,bus stop is very close,Positive,
3,2,True,Location,the location is great,Positive,
3,2,True,Location,near the airport,Positive,
3,2,True,Location,bus stop is very close,Positive,
3,3,True,Location,the location is great,Positive,
3,3,True,Location,near the airport,Positive,
3,3,True,Location,bus stop is very close,Positive,
4,1,False,Quality,Great Quality/price,Positive,
4,1,False,Cleanliness,Clean,Positive,
4,2,False,Quality,Great Quality/price,Positive,
4,2,False,Cleanliness,Clean,Positive,
4,3,False,Quality,Great Quality/price,Positive,
4,3,False,Cleanliness,Clean,Positive,
5,1,True,Location,in a very convenient location,Positive,
5,1,True,Room,Clean and modern with very comfortable beds,Positive,
5,2,True,Location,in a very convenient location,Positive,
5,2,True,Room,Clean and modern with very comfortable beds,Positive,
5,3,True,Location,in a very convenient location,Positive,
5,3,True,Room,Clean and modern with very comfortable beds,Positive,
6,1,True,Room,The room was exceptionally clean with a really comfortable bed,Positive,
6,2,True,Room,The room was exceptionally clean with a really comfortable bed,Positive,
6,3,True,Room,The room was exceptionally clean with a really comfortable bed,Positive,
7,1,True,Off,great,Positive,
7,2,True,Off,great,Positive,
7,3,True,Off,great,Positive,
8,1,True,Location,nice location,Positive,
8,1,True,Staff,lovely personal,Positive,
8,1,True,Facility,renovated,Positive,
8,2,True,Location,nice location,Positive,
8,2,True,Staff,lovely personal,Positive,
8,2,True,Facility,renovated,Positive,
8,3,True,Location,nice location,Positive,
8,3,True,Staff,lovely personal,Positive,
8,3,True,Facility,renovated,Positive,
9,1,False,(parse failed),,,json_parse_error: Expecting value: line 1 column 1 (char 0)
9,2,False,(parse failed),,,json_parse_error: Expecting value: line 1 column 1 (char 0)
9,3,False,(parse failed),,,json_parse_error: Expecting value: line 1 column 1 (char 0)
10,1,True,Room,Great modern room,Positive,
10,1,True,Room,comfortable bed,Positive,
10,1,True,Location,quiet location,Positive,
10,2,True,Room,Great modern room,Positive,
10,2,True,Room,comfortable bed,Positive,
10,2,True,Location,quiet location,Positive,
10,3,True,Room,Great modern room,Positive,
10,3,True,Room,comfortable bed,Positive,
10,3,True,Location,quiet location,Positive,
11,1,False,Staff,The staff here are amazing beyond expectations,Positive,
11,1,False,Staff,Maria at reception is just great she really took time to explain where to get and how to get there and so helpful,Positive,
11,1,False,Staff,Richard the guy is like the friendliest guy ever such a nice guy with a permanent Smile,Positive,
11,1,False,Food,the food is great,Positive,
11,1,False,Room,The rooms are spacious and clean great to stay,Positive,
11,2,False,Staff,The staff here are amazing beyond expectations,Positive,
11,2,False,Staff,Maria at reception is just great she really took time to explain where to get and how to get there and so helpful,Positive,
11,2,False,Staff,Richard the guy is like the friendliest guy ever such a nice guy with a permanent Smile,Positive,
11,2,False,Food,the food is great,Positive,
11,2,False,Room,The rooms are spacious and clean great to stay,Positive,
11,3,False,Staff,The staff here are amazing beyond expectations,Positive,
11,3,False,Staff,Maria at reception is just great she really took time to explain where to get and how to get there and so helpful,Positive,
11,3,False,Staff,Richard the guy is like the friendliest guy ever such a nice guy with a permanent Smile,Positive,
