Review ID,Run,Valid,Topic,Text Span,Errors
1,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 330 (char 329)
2,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 233 (char 232)
3,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 31 (char 30)
4,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 54 (char 53)
5,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 219 (char 218)
6,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 114 (char 113)
7,1,False,(parse failed),,"json_parse_error: Expecting ',' delimiter: line 1 column 306 (char 305)"
8,1,False,Location,"nice location,",
8,1,False,Staff,"lovely personal,",
8,1,False,Facility,"renovated,",
9,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 154 (char 153)
10,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 151 (char 150)
11,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 820 (char 819)
12,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 236 (char 235)
13,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 384 (char 383)
14,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 536 (char 535)
15,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 385 (char 384)
16,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 333 (char 332)
17,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 244 (char 243)
18,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 180 (char 179)
19,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 31 (char 30)
20,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 106 (char 105)
21,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 368 (char 367)
22,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 764 (char 763)
23,1,False,Room,the beds were very comfortable,
24,1,False,Room,I loved the mattress!!!,
25,1,False,Room,Clean and quiet,
26,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 578 (char 577)
27,1,False,Room,"so comfortable, clean,",
27,1,False,Staff,friendly staff.,
27,1,False,Location,perfect for overnight stay before flying from Larnaca Airport.,
28,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 175 (char 174)
29,1,False,Room,very clean functional rooms.,
29,1,False,Staff,lovely and very helpful staff.,
29,1,False,Off,I would have liked an ironing board in the room.,
30,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 111 (char 110)
31,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 375 (char 374)
32,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 129 (char 128)
33,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 387 (char 386)
34,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 27 (char 26)
35,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 27 (char 26)
36,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 622 (char 621)
37,1,False,Room,"Really clean ,",
37,1,False,Staff,lovely caring staff.,
37,1,False,Location,The bus to the airport is close by and runs every 15 minutes.,
38,1,False,(parse failed),,"json_parse_error: Expecting ',' delimiter: line 1 column 344 (char 343)"
39,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 27 (char 26)
40,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 430 (char 429)
41,1,False,Staff,Super friendly and helpful staff.,
41,1,False,Location,"A good location 5 lins away from the airport by car, 5 mins walk to the beach.",
41,1,False,Room,"Clean modern rooms,",
41,1,False,Food,very nice breakfast.,
42,1,False,Room,clean,
43,1,False,Room,clean spacious practical,
44,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 276 (char 275)
45,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 261 (char 260)
46,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 28 (char 27)
47,1,False,(parse failed),,"json_parse_error: Expecting ',' delimiter: line 1 column 180 (char 179)"
48,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 119 (char 118)
49,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 141 (char 140)
50,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 78 (char 77)
51,1,False,Location,"Near airport,",
51,1,False,Room,"nice clean room, very well kept.",
51,1,False,Staff,staff very helpful and friendly.,
51,1,False,Food,good food,
52,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 356 (char 355)
53,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 168 (char 167)
54,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 27 (char 26)
55,1,False,Location,Good for airport transfers,
56,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 333 (char 332)
57,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 379 (char 378)
58,1,False,Location,"Close to the airport,",
58,1,False,Staff,the staff were nice and helpful.,
58,1,False,Room,The room wasn't soundproof so you can hear the planes.,
59,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 195 (char 194)
60,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 28 (char 27)
61,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 77 (char 76)
62,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 380 (char 379)
63,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 304 (char 303)
64,1,False,(parse failed),,json_parse_error: Unterminated string starting at: line 1 column 392 (char 391)
65,1,False,Room,"The property was clean, bed was comfortable",
65,1,False,Food,and the food and staff were really good.,
65,1,False,Location,Location was great and easy to get to and from.,
