Review ID,Run,Valid,Topic,Text Span,Sentiment,Errors
1,1,False,Location,close to the airport,Positive,
1,1,False,Facility,very clean beach,Positive,
1,1,False,Staff,Staff is extremely helpful and easy to communicate with ,Positive,
1,1,False,Food,tasty food on the first floor,Positive,
1,1,False,Location,comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday,Positive,
1,1,False,Off,Nothing at all.,Negative,
1,2,False,Location,close to the airport,Positive,
1,2,False,Facility,very clean beach,Positive,
1,2,False,Staff,Staff is extremely helpful and easy to communicate with ,Positive,
1,2,False,Food,tasty food on the first floor,Positive,
1,2,False,Location,comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday,Positive,
1,2,False,Off,Nothing at all.,Negative,
1,3,False,Location,close to the airport,Positive,
1,3,False,Facility,very clean beach,Positive,
1,3,False,Staff,Staff is extremely helpful and easy to communicate with ,Positive,
1,3,False,Food,tasty food on the first floor,Positive,
1,3,False,Location,comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday,Positive,
1,3,False,Off,Nothing at all.,Negative,
2,1,False,Staff,the staff was very nice and helpful.,Positive,
2,1,False,Room,"The room was very clean, well decorated and modern, although not big.",Positive,
2,1,False,Food,"the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus.",Positive,
2,1,False,Staff,the cook is great,Positive,
2,1,False,Facility,well decorated and modern,Positive,
2,1,False,Location,"I like hotels with a family atmosphere, cozy and not big.",Negative,
2,1,False,Room,although not big,Neutral,
2,1,False,Staff,and all staff was very kind and helpful.,Positive,
2,1,False,Facility,cozy and not big,Neutral,
2,1,False,Location,I recommend it.,Negative,
2,2,False,Staff,the staff was very nice and helpful.,Positive,
2,2,False,Room,"The room was very clean, well decorated and modern, although not big.",Positive,
2,2,False,Food,"the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus.",Positive,
2,2,False,Staff,the cook is great,Positive,
2,2,False,Facility,well decorated and modern,Positive,
2,2,False,Location,"I like hotels with a family atmosphere, cozy and not big.",Negative,
2,2,False,Room,although not big,Neutral,
2,2,False,Staff,and all staff was very kind and helpful.,Positive,
2,2,False,Facility,cozy and not big,Neutral,
2,2,False,Location,I recommend it.,Negative,
2,3,False,Staff,the staff was very nice and helpful.,Positive,
2,3,False,Room,"The room was very clean, well decorated and modern, although not big.",Positive,
2,3,False,Food,"the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus.",Positive,
2,3,False,Staff,the cook is great,Positive,
2,3,False,Facility,well decorated and modern,Positive,
2,3,False,Location,"I like hotels with a family atmosphere, cozy and not big.",Negative,
2,3,False,Room,although not big,Neutral,
2,3,False,Staff,and all staff was very kind and helpful.,Positive,
2,3,False,Facility,cozy and not big,Neutral,
2,3,False,Location,I recommend it.,Negative,
3,1,True,Location,the location is great and near the airport.,Positive,
3,1,True,Off,bus stop is very close.,Negative,
3,2,True,Location,the location is great and near the airport.,Positive,
3,2,True,Facility,bus stop is very close.,Positive,
3,3,True,Location,the location is great and near the airport.,Positive,
3,3,True,Facility,bus stop is very close.,Positive,
4,1,True,Price,Great Quality/price,Positive,
4,1,True,Facility,Clean,Positive,
4,2,True,Price,Great Quality/price,Positive,
4,2,True,Facility,Clean,Positive,
4,3,True,Price,Great Quality/price,Positive,
4,3,True,Facility,Clean,Positive,
5,1,False,Facility,very comfortable beds.,Positive,
5,1,False,Location,in a very convenient location.,Positive,
5,1,False,Facility,a great beach.,Positive,
5,2,False,Facility,very comfortable beds.,Positive,
5,2,False,Location,in a very convenient location.,Positive,
5,2,False,Facility,a great beach.,Positive,
5,3,False,Facility,very comfortable beds.,Positive,
5,3,False,Location,in a very convenient location.,Positive,
5,3,False,Facility,a great beach.,Positive,
6,1,False,Room,The room was exceptionally clean.,Positive,
6,1,False,Facility,with a really comfortable bed,Positive,
6,1,False,Location,We only stayed over night before heading to the airport.,Negative,
6,1,False,Location,the airport,Negative,
6,2,False,Room,The room was exceptionally clean.,Positive,
6,2,False,Facility,with a really comfortable bed,Positive,
6,2,False,Location,We only stayed over night before heading to the airport.,Negative,
6,2,False,Location,the airport,Negative,
6,3,False,Room,The room was exceptionally clean.,Positive,
6,3,False,Facility,with a really comfortable bed,Positive,
6,3,False,Location,We only stayed over night before heading to the airport.,Negative,
6,3,False,Location,the airport,Negative,
7,1,False,(no topics found),,,'annotations' is a required property; Additional properties are not allowed ('Topics' was unexpected)
7,2,False,(no topics found),,,'annotations' is a required property; Additional properties are not allowed ('Topics' was unexpected)
7,3,False,(no topics found),,,'annotations' is a required property; Additional properties are not allowed ('Topics' was unexpected)
8,1,True,Location,nice location,Positive,
8,1,True,Staff,lovely personal,Positive,
8,1,True,Facility,renovated,Positive,
8,2,True,Location,nice location,Positive,
8,2,True,Staff,lovely personal,Positive,
8,2,True,Facility,renovated,Positive,
8,3,True,Location,nice location,Positive,
8,3,True,Staff,lovely personal,Positive,
8,3,True,Facility,renovated,Positive,
9,1,False,Food,fresh fruit or veg,Negative,
9,1,False,Location,bus takes to town-centre (and airport by the way so no need for 21 euro taxi),Positive,
9,2,False,Food,fresh fruit or veg,Negative,
9,2,False,Location,bus takes to town-centre (and airport by the way so no need for 21 euro taxi),Positive,
9,3,False,Food,fresh fruit or veg,Negative,
9,3,False,Location,bus takes to town-centre (and airport by the way so no need for 21 euro taxi),Positive,
10,1,True,Room,Great modern room comfortable bed and quiet location.,Positive,
10,1,True,Location,quiet location.,Positive,
10,2,True,Room,Great modern room comfortable bed and quiet location.,Positive,
10,2,True,Location,quiet location.,Positive,
10,3,True,Room,Great modern room comfortable bed and quiet location.,Positive,
10,3,True,Location,quiet location.,Positive,
11,1,False,Staff,Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... ,Positive,
11,1,False,Staff,"Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile ",Positive,
11,1,False,Food,Oh yeah the food is great to and very reasonable prices ,Positive,
11,1,False,Location,the bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros ,Positive,
11,1,False,Facility,Even the cleaning lady is so friendly and so nice to talk to ,Positive,
11,1,False,Room,The rooms are spacious and clean great to stay I even got an upgrade which is always so nice,Positive,
11,2,False,Staff,Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... ,Positive,
11,2,False,Staff,"Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile ",Positive,
11,2,False,Food,Oh yeah the food is great to and very reasonable prices ,Positive,
11,2,False,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros ,Positive,
11,2,False,Facility,Even the cleaning lady is so friendly and so nice to talk to ,Positive,
11,2,False,Room,The rooms are spacious and clean great to stay I even got an upgrade which is always so nice.,Positive,
11,3,False,Staff,Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... ,Positive,
11,3,False,Staff,"Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile ",Positive,
11,3,False,Food,Oh yeah the food is great to and very reasonable prices ,Positive,
11,3,False,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros ,Positive,
11,3,False,Facility,Even the cleaning lady is so friendly and so nice to talk to ,Positive,
11,3,False,Room,The rooms are spacious and clean great to stay I even got an upgrade which is always so nice.,Positive,
12,1,False,Staff,the staff were exceptional.,Positive,
12,1,False,Staff,so helpful and friendly.,Positive,
12,1,False,Staff,went out of their way for us.,Positive,
12,1,False,Breakfast,the breakfast was lovely with room service too.,Positive,
12,1,False,Facility,very clean and comfortable.,Positive,
12,2,False,Staff,the staff were exceptional.,Positive,
12,2,False,Staff,so helpful and friendly.,Positive,
12,2,False,Staff,went out of their way for us.,Positive,
12,2,False,Breakfast,the breakfast was lovely with room service too.,Positive,
12,2,False,Facility,very clean and comfortable.,Positive,
12,3,False,Staff,the staff were exceptional.,Positive,
12,3,False,Staff,so helpful and friendly.,Positive,
12,3,False,Staff,went out of their way for us.,Positive,
12,3,False,Breakfast,the breakfast was lovely with room service too.,Positive,
12,3,False,Facility,very clean and comfortable.,Positive,
13,1,False,Room,"The rooms are lovely and new, very clean and comfortable.",Positive,
13,1,False,Staff,"The staff are so welcoming, we felt like staying with family.",Positive,
13,1,False,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",Positive,
13,1,False,Facility,the mattress was to my taste.,Positive,
13,2,False,Room,"The rooms are lovely and new, very clean and comfortable.",Positive,
13,2,False,Staff,"The staff are so welcoming, we felt like staying with family.",Positive,
13,2,False,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",Positive,
13,2,False,Facility,the mattress was to my taste.,Positive,
13,3,False,Room,"The rooms are lovely and new, very clean and comfortable.",Positive,
13,3,False,Staff,"The staff are so welcoming, we felt like staying with family.",Positive,
13,3,False,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",Positive,
13,3,False,Facility,the mattress was to my taste.,Positive,
14,1,False,(parse failed),,,json_parse_error: Invalid \escape: line 1 column 380 (char 379)
14,2,False,(parse failed),,,json_parse_error: Invalid \escape: line 1 column 380 (char 379)
14,3,False,(parse failed),,,json_parse_error: Invalid \escape: line 1 column 380 (char 379)
15,1,True,Location,"Second visit - Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.",Positive,
15,1,True,Staff,The staff make it - particularly reception and the dining room.,Positive,
15,1,True,Location,"Nothing really, though for a stay for more than a few days - it is a bit on the edge of Larnaca - with frequent busses to the centre.",Negative,
15,2,True,Location,"Second visit - Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.",Positive,
15,2,True,Staff,The staff make it - particularly reception and the dining room.,Positive,
15,2,True,Location,"Nothing really, though for a stay for more than a few days - it is a bit on the edge of Larnaca - with frequent busses to the centre.",Negative,
15,3,True,Location,"Second visit - Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.",Positive,
15,3,True,Staff,The staff make it - particularly reception and the dining room.,Positive,
15,3,True,Location,"Nothing really, though for a stay for more than a few days - it is a bit on the edge of Larnaca - with frequent busses to the centre.",Negative,
