Review ID,Run,Valid,Topics Present,Errors
1,1,True,"Room, Staff, Location, Food, Off",
1,2,True,"Room, Staff, Location, Food, Off",
1,3,True,"Room, Staff, Location, Food, Off",
2,1,True,"Room, Staff, Food",
2,2,True,"Room, Staff, Food",
2,3,True,"Room, Staff, Food",
3,1,True,Location,
3,2,True,Location,
3,3,True,Location,
4,1,True,Price,
4,2,True,Price,
4,3,True,Price,
5,1,True,"Room, Location",
5,2,True,"Room, Location",
5,3,True,"Room, Location",
6,1,True,Room,
6,2,True,Room,
6,3,True,Room,
7,1,True,Off,
7,2,True,Off,
7,3,True,Off,
8,1,True,"Staff, Location, Facility, Off",
8,2,True,"Staff, Location, Facility, Off",
8,3,True,"Staff, Location, Facility, Off",
9,1,True,"Staff, Location, Food, Taxi-issue",
9,2,True,"Food, Taxi-issue",
9,3,True,"Food, Taxi-issue",
10,1,True,"Room, Location",
10,2,True,"Room, Location",
10,3,True,"Room, Location",
11,1,True,"Room, Staff, Location, Food, Price",
11,2,True,"Room, Staff, Location, Food, Price",
11,3,True,"Room, Staff, Location, Food, Price",
12,1,True,"Staff, Food",
12,2,True,"Staff, Food",
12,3,True,"Staff, Food",
13,1,True,"Room, Staff, Location",
13,2,True,"Room, Staff, Location",
13,3,True,"Room, Staff, Location",
14,1,True,"Staff, Location",
14,2,True,"Staff, Location",
14,3,True,"Staff, Location",
15,1,True,"Staff, Location",
15,2,True,"Staff, Location",
15,3,True,"Staff, Location",
16,1,True,"Room, Food",
16,2,True,"Room, Food",
16,3,True,"Room, Food",
17,1,True,"Room, Staff, Location",
17,2,True,"Room, Staff, Location",
17,3,True,"Room, Staff, Location",
18,1,True,"Staff, Location, Food, Price, Facility",
18,2,True,"Staff, Location, Food, Price, Facility",
18,3,True,"Staff, Location, Food, Price, Facility",
19,1,True,Location,
19,2,True,Location,
19,3,True,Location,
20,1,True,"Staff, Location",
20,2,True,"Staff, Location",
20,3,True,"Staff, Location",
21,1,True,"Staff, Food",
21,2,True,"Staff, Food",
21,3,True,"Staff, Food",
22,1,True,"Room, Staff, Food, Facility",
22,2,True,"Room, Staff, Food, Facility",
22,3,True,"Room, Staff, Food, Facility",
23,1,True,Room,
23,2,True,Room,
23,3,True,Room,
24,1,True,(none),
24,2,True,(none),
24,3,True,(none),
25,1,True,Off,
25,2,True,Off,
25,3,True,Off,
26,1,True,"Room, Staff, Location, Food",
26,2,True,"Room, Staff, Location, Food, Facility",
26,3,True,"Room, Staff, Location, Food, Facility",
27,1,True,"Staff, Off",
27,2,True,"Staff, Off",
27,3,True,"Staff, Off",
28,1,True,"Staff, Location",
28,2,True,Staff,
28,3,True,Staff,
29,1,True,"Room, Staff",
29,2,True,"Room, Staff",
29,3,True,"Room, Staff",
30,1,True,"Room, Staff, Location, Off",
30,2,True,"Room, Staff, Location, Off",
30,3,True,"Room, Staff, Location, Off",
31,1,True,"Staff, Location, Food, Price",
31,2,True,"Staff, Location, Food, Price",
31,3,True,"Staff, Location, Food, Price",
32,1,True,"Room, Staff, Off",
32,2,True,"Room, Staff, Off",
32,3,True,"Room, Staff, Off",
33,1,True,"Room, Staff, Food, Facility",
33,2,True,"Room, Staff, Food, Facility",
33,3,True,"Room, Staff, Food, Facility",
34,1,True,"Location, Price",
34,2,True,"Location, Price",
34,3,True,"Location, Price",
35,1,True,(none),
35,2,True,(none),
35,3,True,(none),
36,1,True,"Room, Staff, Location, Food, Check-in, Off",
36,2,True,"Room, Staff, Location, Food, Check-in, Off",
36,3,True,"Room, Staff, Location, Food, Check-in, Off",
37,1,True,"Staff, Food",
37,2,True,"Staff, Food",
37,3,True,"Staff, Food",
38,1,True,Room,
38,2,True,Room,
38,3,True,Room,
39,1,True,(none),
39,2,True,(none),
39,3,True,(none),
40,1,True,"Room, Location",
40,2,True,"Room, Location",
40,3,True,"Room, Location",
41,1,True,"Room, Staff, Location, Food, Facility",
41,2,True,"Room, Staff, Location, Food, Facility",
