Review ID,Run,Source,Topic,Sentiment,Head,Selected Content,Literal,Literal Type,Valid,Errors
1,,gt,Facility,Positive,good_facility,"New, comfortable apartments",(no literals),,False,json_parse_error: Extra data: line 1 column 12 (char 11)
1,,gt,Location,Positive,good_location,"close to the airport, to very clean beach.",(no literals),,False,json_parse_error: Extra data: line 1 column 19 (char 18)
1,,gt,Staff,Positive,good_staff,Staff is extremely helpful and easy to communicate with,(no literals),,False,json_parse_error: Extra data: line 1 column 16 (char 15)
1,,gt,Food,Positive,good_food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",(no literals),,False,json_parse_error: Extra data: line 1 column 13 (char 12)
2,,gt,Staff,Positive,good_staff,The staff was very nice and helpful!,(no literals),,False,json_parse_error: Extra data: line 1 column 13 (char 12)
2,,gt,Room,Positive,good_room,"The room was very clean, well decorated and modern, although not big.",(no literals),,False,json_parse_error: Extra data: line 1 column 13 (char 12)
2,,gt,Room,Negative,bad_room,"The room was very clean, well decorated and modern, although not big.",(no literals),,False,'not_big_room' is not of type 'object'
2,,gt,Food,Positive,good_food,"Also, the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus. The cook is great, and all staff was very kind and helpful.",(no literals),,False,json_parse_error: Extra data: line 1 column 20 (char 19)
2,,gt,Facility,Negative,bad_facility,"We had a really pleasant stay!, although not big,",(no literals),,False,'not_big_hotel' is not of type 'object'
2,,gt,Facility,Positive,good_facility,"I like hotels with a family atmosphere, cozy and not big,",(no literals),,False,json_parse_error: Extra data: line 1 column 15 (char 14)
3,,gt,Location,Positive,good_location,the location is great and near the airport. bus stop is very close.,(no literals),,False,json_parse_error: Extra data: line 1 column 17 (char 16)
4,,gt,Staff,Positive,good_staff,Great stuff,(no literals),,False,'great_stuff' is not of type 'object'
4,,gt,Price,Positive,good_price,Great Quality/price,(no literals),,False,'great_quality/price' is not of type 'object'
4,,gt,Room,Positive,good_room,Clean,(no literals),,False,'clean_room' is not of type 'object'
5,,gt,Room,Positive,good_room,Clean and modern with very comfortable beds,(no literals),,False,json_parse_error: Extra data: line 1 column 13 (char 12)
5,,gt,Location,Positive,good_location,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.,(no literals),,False,json_parse_error: Extra data: line 1 column 22 (char 21)
6,,gt,Room,Positive,good_room,The room was exceptionally clean with a really comfortable bed,(no literals),,False,json_parse_error: Extra data: line 1 column 27 (char 26)
8,,gt,Location,Positive,good_location,nice location,(no literals),,False,'nice_location' is not of type 'object'
8,,gt,Staff,Positive,good_staff,lovely personal,(no literals),,False,'lovely_personal' is not of type 'object'
9,,gt,Staff,Positive,good_staff,very helpful host showed us how nearby bus takes to town-cntre (and airport by the way,(no literals),,False,'helpful_host' is not of type 'object'
10,,gt,Room,Positive,good_room,Great modern room comfortable bed,(no literals),,False,json_parse_error: Extra data: line 1 column 13 (char 12)
10,,gt,Location,Positive,good_location,quiet location,(no literals),,False,'quiet_location' is not of type 'object'
11,,gt,Staff,Positive,good_staff,"The staff here are amazing beyond expectations..*****
  Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
  Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Even the cleaning lady is so friendly and so nice to talk to. The owners are also great",(no literals),,False,json_parse_error: Extra data: line 1 column 16 (char 15)
11,,gt,Food,Positive,good_food,Oh yeah the food is great to and very reasonable prices ..,(no literals),,False,json_parse_error: Extra data: line 1 column 13 (char 12)
11,,gt,Room,Positive,good_room,The rooms are spacious and clean great to stay .. I even got an upgrade,(no literals),,False,json_parse_error: Extra data: line 1 column 17 (char 16)
11,,gt,Location,Positive,good_location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,(no literals),,False,json_parse_error: Extra data: line 1 column 29 (char 28)
12,,gt,Staff,Positive,good_staff,The staff were exceptional. So helpful and friendly. Went out of their way for us.,(no literals),,False,json_parse_error: Extra data: line 1 column 20 (char 19)
12,,gt,Food,Positive,good_food,The breakfast was lovely with room service too.,(no literals),,False,'lovely_breakfast' is not of type 'object'
12,,gt,Room,Positive,good_room,Very clean and comfortable.,(no literals),,False,json_parse_error: Extra data: line 1 column 13 (char 12)
13,,gt,Room,Positive,good_room,"The rooms are lovely and new, very clean and comfortable. The mattress was to my taste.",(no literals),,False,json_parse_error: Extra data: line 1 column 15 (char 14)
13,,gt,Location,Positive,good_location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",(no literals),,False,json_parse_error: Extra data: line 1 column 25 (char 24)
13,,gt,Staff,Positive,good_staff,"The staff are so welcoming, we felt like staying with family.",(no literals),,False,'welcoming_staff' is not of type 'object'
14,,gt,Location,Positive,good_location,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair. There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,(no literals),,False,json_parse_error: Extra data: line 1 column 19 (char 18)
14,,gt,Staff,Negative,bad_staff,The receptionist didn't speak English properly,(no literals),,False,"""didn't_speak_english_properly_receptionist"" is not of type 'object'"
14,,gt,Room,Negative,bad_room,You can hear the airplanes coming and leaving from the airport all the time,(no literals),,False,'hear_the_airplanes_room' is not of type 'object'
15,,gt,Location,Positive,good_location,"Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.",(no literals),,False,json_parse_error: Extra data: line 1 column 30 (char 29)
15,,gt,Staff,Positive,good_staff,The staff make it,(no literals),,False,json_parse_error: Expecting value: line 1 column 1 (char 0)
15,,gt,Location,Negative,bad_location,it is a bit on the edge of Larnaca - with frequent busses to the centre.,(no literals),,False,'bit_on_the_edge_of_larnaca' is not of type 'object'
16,,gt,Room,Positive,good_room,"I liked the rooms- they are spacious, clean, the window view is nice too.",(no literals),,False,json_parse_error: Extra data: line 1 column 17 (char 16)
16,,gt,Food,Positive,good_food,"The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",(no literals),,False,json_parse_error: Extra data: line 1 column 21 (char 20)
17,,gt,Staff,Positive,good_staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,(no literals),,False,json_parse_error: Extra data: line 1 column 17 (char 16)
17,,gt,Room,Positive,good_room,Our room had a balcony with great view of the sea and surrounding area.,(no literals),,False,json_parse_error: Extra data: line 1 column 15 (char 14)
18,,gt,Staff,Positive,good_staff,"with extremely friendly reception and dining staff,",(no literals),,False,json_parse_error: Extra data: line 1 column 21 (char 20)
18,,gt,Food,Positive,good_food,Meals well prepared and good value.,(no literals),,False,json_parse_error: Extra data: line 1 column 22 (char 21)
18,,gt,Location,Positive,good_location,Bus every 20 minutes to the centre of Larnaka.,(no literals),,False,'bus_every_20_minutes' is not of type 'object'
19,,gt,Location,Positive,good_location,Close to airport,(no literals),,False,'close_to_airport' is not of type 'object'
20,,gt,Room,Positive,good_room,clean,(no literals),,False,'clean_room' is not of type 'object'
20,,gt,Staff,Positive,good_staff,friendly stuff,(no literals),,False,'friendly_stuff' is not of type 'object'
21,,gt,Room,Positive,good_room,The hotel is impressive how clean nice and comfortable it is,(no literals),,False,json_parse_error: Extra data: line 1 column 19 (char 18)
21,,gt,Staff,Positive,good_staff,however what will bring me back is the staff and the owners. Richard (the chef) is personally buying super fresh food for the restaurant. The owners have been super kind to me :),(no literals),,False,'super_kind_owners' is not of type 'object'
21,,gt,Food,Positive,good_food,Everything from breakfast to dinner is absolutely delicious.,(no literals),,False,json_parse_error: Extra data: line 1 column 22 (char 21)
22,,gt,Room,Positive,good_room,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean. Bed was really comfortable, lots of room for me to put my things",(no literals),,False,json_parse_error: Extra data: line 1 column 15 (char 14)
22,,gt,Room,Negative,bad_room,"although might have needed another set of drawers if there were two of us. Fridge could have been put on beforehand, the shower took a while to get hot,",(no literals),,False,json_parse_error: Extra data: line 1 column 32 (char 31)
22,,gt,Food,Negative,bad_food,"Ordered pizza one night and was not great, too stodgy",(no literals),,False,json_parse_error: Extra data: line 1 column 18 (char 17)
22,,gt,Food,Positive,good_food,The restaurant area is nice,(no literals),,False,'nice_restaurant_area' is not of type 'object'
22,,gt,Staff,Positive,good_staff,the staff very accomodating.,(no literals),,False,'accomodating_staff' is not of type 'object'
23,,gt,Room,Positive,good_room,the beds were very comfortable,(no literals),,False,'comfortable_beds' is not of type 'object'
24,,gt,Room,Positive,good_room,I loved the mattress!!!,(no literals),,False,'loved_mattress' is not of type 'object'
25,,gt,Room,Positive,good_room,Clean and quiet,(no literals),,False,json_parse_error: Extra data: line 1 column 13 (char 12)
26,,gt,Location,Positive,good_location,The hotel is 5 minutes from the beach and the location is also near the lake.,(no literals),,False,json_parse_error: Extra data: line 1 column 27 (char 26)
26,,gt,Room,Positive,good_room,"The rooms are a good size and are laid out very well with a good size bathroom
  The room also has a great sized balcony to take a tea/coffee and 
  chill",(no literals),,False,json_parse_error: Extra data: line 1 column 18 (char 17)
26,,gt,Food,Positive,good_food,There is a great restaurant inside where the food is good and not to pricey.,(no literals),,False,json_parse_error: Extra data: line 1 column 19 (char 18)
26,,gt,Staff,Positive,good_staff,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing,(no literals),,False,json_parse_error: Extra data: line 1 column 24 (char 23)
27,,gt,Room,Positive,good_room,"so comfortable, clean",(no literals),,False,json_parse_error: Extra data: line 1 column 19 (char 18)
27,,gt,Staff,Positive,good_staff,friendly staff,(no literals),,False,'friendly_staff' is not of type 'object'
27,,gt,Location,Positive,good_location,perfect for overnight stay before flying from Larnaca Airport.,(no literals),,False,'perfect_for_overnight_stay' is not of type 'object'
28,,gt,Staff,Positive,good_staff,Staff is very polite and caring.,(no literals),,False,json_parse_error: Extra data: line 1 column 15 (char 14)
28,,gt,Location,Negative,bad_location,Surrounding buildings are under construction and poorly lit.,(no literals),,False,json_parse_error: Extra data: line 1 column 27 (char 26)
29,,gt,Room,Positive,good_room,very clean functional rooms,(no literals),,False,json_parse_error: Extra data: line 1 column 14 (char 13)
29,,gt,Staff,Positive,good_staff,lovely and very helpful staff.,(no literals),,False,json_parse_error: Extra data: line 1 column 15 (char 14)
30,,gt,Staff,Positive,good_staff,Staff were lovely. Service was great.,(no literals),,False,json_parse_error: Extra data: line 1 column 15 (char 14)
30,,gt,Room,Positive,good_room,The room was spotless.,(no literals),,False,'spotless_room' is not of type 'object'
30,,gt,Location,Positive,good_location,Great location for restaurants. Great location for a short drive to the airport.,(no literals),,False,json_parse_error: Extra data: line 1 column 33 (char 32)
31,,gt,Room,Positive,good_room,"Clean, comfortable,",(no literals),,False,json_parse_error: Extra data: line 1 column 13 (char 12)
31,,gt,Staff,Positive,good_staff,friendly staff.,(no literals),,False,'friendly_staff' is not of type 'object'
31,,gt,Food,Positive,good_food,Great restaurant beneath the hotel - food excellent & reasonably priced.,(no literals),,False,json_parse_error: Extra data: line 1 column 19 (char 18)
31,,gt,Location,Positive,good_location,Very close to Mackenzy beach & Larnaca airport.,(no literals),,False,json_parse_error: Extra data: line 1 column 26 (char 25)
32,,gt,Room,Positive,good_room,The bed was great. Rooms clean.,(no literals),,False,json_parse_error: Extra data: line 1 column 12 (char 11)
32,,gt,Staff,Positive,good_staff,Staff were so kind.,(no literals),,False,'kind_staff' is not of type 'object'
33,,gt,Staff,Positive,good_staff,Very helpful staff,(no literals),,False,'helpful_staff' is not of type 'object'
33,,gt,Room,Positive,good_room,super clean room with modern furniture all together make your stay max comfortable,(no literals),,False,json_parse_error: Extra data: line 1 column 19 (char 18)
33,,gt,Food,Positive,good_food,Option to have a good breakfast within the hotel save your time.,(no literals),,False,'good_breakfast' is not of type 'object'
33,,gt,Room,Negative,bad_room,Little bit noisy during evening time from the street side.,(no literals),,False,'noisy_room' is not of type 'object'
34,,gt,Staff,Positive,good_staff,welcoming,(no literals),,False,'welcoming_staff' is not of type 'object'
34,,gt,Price,Positive,good_price,value for money,(no literals),,False,'value_for_money' is not of type 'object'
34,,gt,Room,Negative,bad_room,more hooks on walls for towels etc.,(no literals),,False,'more_hooks_on_walls' is not of type 'object'
35,,gt,Room,Negative,bad_room,"There was a problem with heating water at that time and we can understand, but eventually we couldn't manage to have a proper shower with hot water.",(no literals),,False,json_parse_error: Extra data: line 1 column 29 (char 28)
36,,gt,Location,Negative,bad_location,"we were surprised at the location in a small side street,",(no literals),,False,'small_side_street_location' is not of type 'object'
36,,gt,Location,Positive,good_location,but it was only a 10-minute walk to the sea front.,(no literals),,False,'10-minute_walk_to_sea_front' is not of type 'object'
36,,gt,Staff,Positive,good_staff,The receptionist on check in was very good and explained the information very clearly to us.,(no literals),,False,json_parse_error: Extra data: line 1 column 25 (char 24)
